,Heading,Pitch,Roll,Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z,Magn_X,Magn_Y,Magn_Z,Temperature,Vdd,USW (L/H),Latitude,Longitude,Altitude,V_East,V_North,V_Up,Heave,Surge,Sway,V_Heave,V_Surge,V_Sway,Lat_GNSS,Long_GNSS,Height_GNSS,Hor_spd,Trk_gnd,Ver_spd,ms_gps,GPS_Week,GNSS_info_1,GNSS_info_2,#solnSVs,V_latency,anglesPosType,Heading_GNSS,Latency_ms_head,Latency_ms_pos,Latency_ms_vel,P_Bar,H_Bar,New_GPS
2488,55.521,5.6,-5.209,-2.81281,24.2584,41.84816,0.043818,0.065051,1.070033,3340.0,4350.0,2660.0,47.7,10.05,00000000 00000000,32.825783826,34.956167706,22.07,-0.3,0.26,0.12,-0.06,-1.31,1.54,-0.12,-0.37,-0.88,32.825741279,34.956246386,22.081,0.22,58.62,0.09,307393995,2172,1000,11111100,31,25,100,0.0,0,45,45,100826,20.63,8
2489,54.371,5.459,-4.609,-0.7733800000000001,30.498,46.34173,0.047708,0.05165,0.996216,3390.0,4380.0,2690.0,47.7,10.09,00000000 00000000,32.825783879,34.956167635999996,22.074,-0.31,0.26,0.13,-0.06,-1.31,1.54,-0.13,-0.38,-0.89,32.825741312,34.95624651,22.091,0.24,72.62,0.18,307394020,2172,1000,11111100,31,25,100,0.0,0,20,20,100826,20.63,3
2490,53.148999999999994,5.369,-3.897,-0.22314,35.57541,51.82963,-0.003113,0.007273999999999999,0.883093,3470.0,4400.0,2670.0,47.7,10.1,00000000 00000000,32.825783938,34.95616755,22.077,-0.33,0.26,0.12,-0.06,-1.32,1.55,-0.12,-0.39,-0.89,32.825741312,34.95624651,22.091,0.24,72.62,0.18,307394045,2172,1000,11111100,31,25,100,0.0,0,45,45,100826,20.63,0
2491,51.715,5.222,-3.0839999999999996,-5.75159,38.48855,58.257819999999995,-0.020529,0.014268000000000001,0.8289780000000001,3530.0,4420.0,2680.0,47.6,10.12,00000000 00000000,32.825783989,34.956167469,22.081,-0.35,0.25,0.08,-0.06,-1.32,1.55,-0.08,-0.41,-0.91,32.825741353000005,34.956246609000004,22.099,0.21,63.95,0.09,307394070,2172,1000,11111100,32,25,100,0.0,0,20,20,100824,20.71,3
2492,50.208,4.937,-2.305,-10.73928,32.44406,62.729209999999995,0.019718,0.037649,0.859593,3620.0,4460.0,2710.0,47.6,10.08,00000000 00000000,32.825784047,34.956167371,22.082,-0.36,0.25,0.04,-0.06,-1.33,1.56,-0.04,-0.42,-0.91,32.825741353000005,34.956246609000004,22.099,0.21,63.95,0.09,307394095,2172,1000,11111100,32,25,100,0.0,0,45,45,100824,20.71,0
2493,48.543,4.607,-1.804,-10.77416,17.27178,64.40337,0.046959,0.055883,0.9029010000000001,3710.0,4530.0,2770.0,47.6,10.12,00000000 00000000,32.825784094,34.956167284,22.084,-0.37,0.24,0.01,-0.06,-1.33,1.57,-0.02,-0.43,-0.91,32.825741381,34.956246680999996,22.1,0.14,65.54,0.02,307394120,2172,1000,11111100,33,25,100,0.0,0,20,20,100824,20.8,3
2494,46.994,4.32,-1.6569999999999998,-8.15974,4.97347,58.394709999999996,0.039051999999999996,0.085672,0.934867,3840.0,4620.0,2820.0,47.6,10.07,00000000 00000000,32.825784149,34.956167185,22.084,-0.36,0.24,0.0,-0.06,-1.33,1.57,0.0,-0.43,-0.9,32.825741381,34.956246680999996,22.1,0.14,65.54,0.02,307394145,2172,1000,11111100,33,25,100,0.0,0,45,45,100824,20.8,0
2495,45.577,4.117,-1.8,-5.1714,-9.78708,50.65235,0.041349000000000004,0.103477,0.931623,3970.0,4700.0,2870.0,47.6,10.1,00000000 00000000,32.825784192,34.956167099,22.084,-0.36,0.23,-0.01,-0.06,-1.34,1.58,0.01,-0.42,-0.9,32.82574141,34.956246765,22.104,0.17,68.25,0.01,307394170,2172,1000,11111100,33,25,100,0.0,0,20,20,100826,20.63,3
2496,44.406000000000006,3.997,-2.315,-1.0790899999999999,-23.16217,42.268440000000005,0.017734,0.137899,0.956335,4140.0,4780.0,2880.0,47.6,10.07,00000000 00000000,32.825784246,34.956167003000004,22.084,-0.35,0.24,-0.02,-0.06,-1.34,1.58,0.02,-0.41,-0.9,32.82574141,34.956246765,22.104,0.17,68.25,0.01,307394195,2172,1000,11111100,33,25,100,0.0,0,45,45,100826,20.55,0
2497,43.507,3.977,-2.9539999999999997,1.8816599999999999,-21.22896,25.19957,-0.020718,0.161005,0.971725,4300.0,4840.0,2860.0,47.6,10.11,00000000 00000000,32.825784293000005,34.956166922,22.083,-0.34,0.26,-0.03,-0.06,-1.35,1.59,0.03,-0.38,-0.9,32.825741463,34.956246928,22.101,0.32,69.06,-0.05,307394220,2172,1000,11111100,32,25,100,0.0,0,20,20,100828,20.46,3
