,Heading,Pitch,Roll,Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z,Magn_X,Magn_Y,Magn_Z,Temperature,Vdd,USW (L/H),Latitude,Longitude,Altitude,V_East,V_North,V_Up,Heave,Surge,Sway,V_Heave,V_Surge,V_Sway,Lat_GNSS,Long_GNSS,Height_GNSS,Hor_spd,Trk_gnd,Ver_spd,ms_gps,GPS_Week,GNSS_info_1,GNSS_info_2,#solnSVs,V_latency,anglesPosType,Heading_GNSS,Latency_ms_head,Latency_ms_pos,Latency_ms_vel,P_Bar,H_Bar,New_GPS
7049,19.87,3.3539999999999996,10.058,-21.5163,-0.62629,-16.1843,0.041752,0.070423,0.84672,6190.0,7820.0,2300.0,47.0,10.1,00000000 00000000,32.826356417,34.956763286,23.129,-0.92,1.2,-0.08,-0.21,1.57,7.19,0.05,0.06,-0.7,32.825991467,34.956635829,23.624,0.95,36.35,0.41,307557620,2172,10000,11111100,12,0,100,0.0,0,20,20,100796,23.05,3
7050,20.355,2.925,-9.969,-18.713,6.66863,-16.048939999999998,0.037655,0.0913,0.899674,6180.0,7800.0,2330.0,47.0,10.07,00000000 00000000,32.826356689,34.956763036999995,23.127,-0.94,1.21,-0.11,-0.21,1.56,7.19,0.08,0.07,-0.73,32.825991467,34.956635829,23.624,0.95,36.35,0.41,307557645,2172,10000,11111100,12,0,100,0.0,0,45,45,100796,23.14,0
7051,20.79,2.577,-9.673,-14.6862,14.588479999999999,-12.513630000000001,0.034179,0.07273500000000001,0.9374709999999999,6150.0,7810.0,2390.0,47.0,10.1,00000000 00000000,32.826356856,34.95676265,23.118,-0.96,1.23,-0.13,-0.21,1.54,7.18,0.1,0.08,-0.75,32.825983631999996,34.956611785,26.391,1.04,34.04,-0.21,307557670,2172,10000,11111100,11,0,100,0.0,0,20,20,100794,23.31,3
7052,21.051,2.301,-9.258,-10.66826,16.9782,-4.25007,0.032227,0.083258,0.9692270000000001,6130.0,7800.0,2430.0,47.0,10.08,00000000 00000000,32.826357136,34.956762389,23.115,-0.98,1.25,-0.14,-0.21,1.53,7.17,0.11,0.09,-0.78,32.825983631999996,34.956611785,26.391,1.04,34.04,-0.21,307557695,2172,10000,11111100,11,0,100,0.0,0,45,45,100796,23.14,0
7053,21.104,2.097,-8.82,-5.812,18.3725,1.7857599999999998,0.055230999999999995,0.103121,1.0488,6090.0,7810.0,2490.0,47.0,10.07,00000000 00000000,32.826357426,34.956762006999995,23.111,-1.0,1.27,-0.14,-0.21,1.51,7.16,0.11,0.1,-0.81,32.825991787,34.956635192,23.751,1.04,34.04,-0.21,307557720,2172,10000,11111100,12,0,100,0.0,0,20,70,100796,23.14,1
7054,21.041,2.032,-8.308,1.54502,22.53343,3.5294800000000004,0.114381,0.10596400000000002,1.1259350000000001,6070.0,7780.0,2500.0,47.0,10.08,00000000 00000000,32.826357378000004,34.956761737,23.109,-1.01,1.29,-0.12,-0.21,1.5,7.16,0.09,0.12,-0.83,32.825991787,34.956635192,23.751,0.54,289.23,1.14,307557745,2172,10000,11111100,12,0,100,0.0,0,45,45,100796,23.05,2
7055,20.881999999999998,2.141,-7.791,8.42848,17.22932,9.43754,0.163105,0.101408,1.133227,6030.0,7750.0,2530.0,47.0,10.11,00000000 00000000,32.826357679000004,34.956761293,23.108,-1.01,1.31,-0.08,-0.21,1.48,7.15,0.06,0.13,-0.83,32.825970136,34.956572896,29.214,0.54,289.23,1.14,307557770,2172,110000,11111100,11,0,100,0.0,0,20,70,100798,22.89,1
7056,20.475,2.376,-7.496,13.79393,8.61159,19.431929999999998,0.12532000000000001,0.102907,1.138076,6010.0,7720.0,2540.0,47.1,10.07,00000000 00000000,32.826354394,34.956761019,23.105,-1.0,1.3,-0.04,-0.21,1.47,7.14,0.02,0.15,-0.83,32.825970136,34.956572896,29.214,3.19,68.47,-2.56,307557795,2172,110000,11111100,11,0,100,0.0,0,45,45,100798,22.89,2
7057,19.854,2.7110000000000003,-7.34,18.73864,6.28,25.20502,0.048785,0.084549,1.133467,6020.0,7730.0,2560.0,47.1,10.13,00000000 00000000,32.826354419,34.956760619,23.091,-1.01,1.31,-0.01,-0.21,1.45,7.14,-0.01,0.16,-0.84,32.825995813,34.956611663000004,26.94,0.76,72.41,-0.18,307557820,2172,10000,11111100,10,0,100,0.0,0,20,20,100798,22.89,3
7058,19.183,3.123,-7.2410000000000005,20.271739999999998,4.0599099999999995,23.192970000000003,0.10455999999999999,0.041378,1.131802,6050.0,7720.0,2530.0,47.1,10.07,00000000 00000000,32.826354716,34.956760344,23.091,-1.03,1.32,0.01,-0.21,1.44,7.13,-0.04,0.16,-0.86,32.825995813,34.956611663000004,26.94,0.76,72.41,-0.18,307557845,2172,10000,11111100,10,0,100,0.0,0,45,45,100798,22.97,0
