,Heading,Pitch,Roll,Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z,Magn_X,Magn_Y,Magn_Z,Temperature,Vdd,USW (L/H),Latitude,Longitude,Altitude,V_East,V_North,V_Up,Heave,Surge,Sway,V_Heave,V_Surge,V_Sway,Lat_GNSS,Long_GNSS,Height_GNSS,Hor_spd,Trk_gnd,Ver_spd,ms_gps,GPS_Week,GNSS_info_1,GNSS_info_2,#solnSVs,V_latency,anglesPosType,Heading_GNSS,Latency_ms_head,Latency_ms_pos,Latency_ms_vel,P_Bar,H_Bar,New_GPS
0,285.112,2.878,-5.104,2.04055,-0.47293,2.42544,0.062322,0.045379,0.990886,7090.0,14530.0,3230.0,48.0,10.05,00000000 00000000,32.825764088,34.956248365,22.002,0.04,-0.03,0.04,0.07,-0.62,-0.55,-0.03,-0.06,-0.24,32.825764293,34.95618937,22.039,0.02,7.43,0.0,307252095,2172,1000,11111100,29,25,100,0.0,0,45,45,100830,20.29,0
1,285.05,2.9130000000000003,-5.093,1.32473,1.32016,3.01677,0.063874,0.024816,0.9897219999999999,7090.0,14530.0,3240.0,47.9,10.13,00000000 00000000,32.825764096,34.95624817,22.005,0.04,-0.04,0.04,0.07,-0.62,-0.55,-0.02,-0.07,-0.25,32.825764303,34.956189388,22.047,0.02,45.98,0.0,307252120,2172,1000,11111100,29,25,100,0.0,0,20,20,100830,20.29,3
2,284.945,2.926,-5.058,0.26582,1.7246,5.48492,0.070227,0.019833,0.9806959999999999,7080.0,14540.0,3240.0,47.9,10.08,00000000 00000000,32.825764085,34.956248181999996,22.006,0.04,-0.04,0.04,0.07,-0.62,-0.55,-0.02,-0.07,-0.25,32.825764303,34.956189388,22.047,0.02,45.98,0.0,307252145,2172,1000,11111100,29,25,100,0.0,0,45,45,100832,20.13,0
3,284.781,2.898,-5.018,-1.0259,1.85762,8.137889999999999,0.07510900000000001,0.025717,0.9873790000000001,7070.0,14550.0,3250.0,47.9,10.1,00000000 00000000,32.825764090999996,34.956247961,22.008,0.05,-0.05,0.03,0.07,-0.61,-0.55,-0.02,-0.08,-0.26,32.825764301999996,34.956189396999996,22.048,0.01,96.48,0.03,307252170,2172,1000,11111100,29,25,100,0.0,0,20,20,100832,20.13,3
4,284.562,2.843,-4.979,-1.74827,2.39926,9.37998,0.07484600000000001,0.032267000000000004,1.0010459999999999,7050.0,14570.0,3260.0,47.9,10.07,00000000 00000000,32.825764079,34.956247975,22.009,0.05,-0.05,0.03,0.07,-0.61,-0.56,-0.02,-0.09,-0.26,32.825764301999996,34.956189396999996,22.048,0.01,96.48,0.03,307252195,2172,1000,11111100,29,25,100,0.0,0,45,45,100832,20.13,0
5,284.339,2.765,-4.912,-2.56006,3.61154,9.461789999999999,0.079238,0.036188,1.0003950000000001,7030.0,14600.0,3260.0,47.9,10.11,00000000 00000000,32.825764086999996,34.956247603,22.011,0.05,-0.05,0.04,0.07,-0.61,-0.56,-0.02,-0.09,-0.26,32.825764317,34.956189402,22.054,0.02,344.62,-0.02,307252220,2172,1000,11111100,29,25,100,0.0,0,20,20,100830,20.21,3
6,284.103,2.6630000000000003,-4.834,-3.9917800000000003,3.11768,10.21505,0.090539,0.040992,0.994288,7010.0,14620.0,3240.0,47.9,10.09,00000000 00000000,32.825764075,34.956247616999995,22.012,0.05,-0.05,0.04,0.07,-0.6,-0.56,-0.02,-0.09,-0.26,32.825764317,34.956189402,22.054,0.02,344.62,-0.02,307252245,2172,1000,11111100,29,25,100,0.0,0,45,45,100830,20.29,0
7,283.846,2.523,-4.792,-4.8544,1.05944,11.45876,0.104742,0.046142,1.005549,6990.0,14650.0,3250.0,47.9,10.1,00000000 00000000,32.825764080999996,34.956247309,22.015,0.04,-0.04,0.04,0.07,-0.6,-0.57,-0.02,-0.09,-0.26,32.825764314000004,34.9561894,22.055,0.0,215.56,0.02,307252270,2172,1000,11111100,28,25,100,0.0,0,20,20,100830,20.21,3
8,283.568,2.383,-4.796,-4.37057,-0.27747,11.5652,0.103248,0.048757999999999996,1.00699,6970.0,14690.0,3230.0,47.9,10.07,00000000 00000000,32.825764071,34.956247323,22.016,0.04,-0.04,0.04,0.07,-0.6,-0.57,-0.02,-0.09,-0.25,32.825764314000004,34.9561894,22.055,0.0,215.56,0.02,307252295,2172,1000,11111100,28,25,100,0.0,0,45,45,100830,20.21,0
9,283.293,2.265,-4.823,-2.95643,-0.84364,11.43905,0.086969,0.041958999999999996,0.997301,6950.0,14740.0,3240.0,47.9,10.1,00000000 00000000,32.825764076999995,34.95624715,22.018,0.04,-0.03,0.04,0.07,-0.59,-0.57,-0.03,-0.09,-0.25,32.825764305999996,34.956189415,22.062,0.02,152.0,0.0,307252320,2172,1000,11111100,28,25,100,0.0,0,20,20,100830,20.29,3
10,282.993,2.184,-4.864,-1.37506,-1.59531,13.4162,0.073652,0.034461,0.9851409999999999,6940.0,14770.0,3210.0,47.9,10.08,00000000 00000000,32.825764069,34.956247163,22.02,0.04,-0.03,0.04,0.07,-0.59,-0.57,-0.03,-0.09,-0.25,32.825764305999996,34.956189415,22.062,0.02,152.0,0.0,307252345,2172,1000,11111100,28,25,100,0.0,0,45,45,100828,20.38,0
11,282.637,2.142,-4.927,0.8598100000000001,-2.14652,15.2946,0.066824,0.042069,0.9804379999999999,6910.0,14820.0,3230.0,47.9,10.1,00000000 00000000,32.825764073,34.956246831,22.022,0.03,-0.03,0.04,0.07,-0.59,-0.58,-0.02,-0.09,-0.25,32.82576429,34.9561894,22.062,0.04,217.64,0.0,307252370,2172,1000,11111100,28,25,100,0.0,0,20,20,100828,20.46,3
12,282.256,2.16,-4.984,3.16886,-0.97705,14.493879999999999,0.066692,0.051086,0.9858959999999999,6890.0,14860.0,3240.0,47.9,10.08,00000000 00000000,32.825764064,34.956246841,22.023,0.03,-0.04,0.04,0.07,-0.58,-0.58,-0.02,-0.08,-0.25,32.82576429,34.9561894,22.062,0.04,217.64,0.0,307252395,2172,1000,11111100,28,25,100,0.0,0,45,45,100826,20.55,0
13,281.913,2.234,-4.995,5.08667,0.68607,12.69482,0.07725,0.053286,0.980931,6880.0,14880.0,3220.0,47.9,10.12,00000000 00000000,32.825764066,34.956246723,22.026,0.02,-0.04,0.04,0.07,-0.58,-0.58,-0.02,-0.08,-0.26,32.825764269000004,34.956189411,22.069,0.05,177.02,0.0,307252420,2172,1000,11111100,28,25,100,0.0,0,20,20,100828,20.46,3
14,281.595,2.3409999999999997,-4.998,5.21743,-0.3072,12.129489999999999,0.093782,0.051911,0.983034,6870.0,14890.0,3210.0,47.9,10.08,00000000 00000000,32.825764057,34.956246731,22.027,0.02,-0.03,0.03,0.07,-0.58,-0.58,-0.01,-0.08,-0.25,32.825764269000004,34.956189411,22.069,0.05,177.02,0.0,307252445,2172,1000,11111100,28,25,100,0.0,0,45,45,100826,20.55,0
15,281.275,2.432,-5.048,4.34106,-2.56731,12.8072,0.097633,0.056093,0.987667,6850.0,14900.0,3220.0,47.9,10.11,00000000 00000000,32.825764062,34.956246581,22.029,0.02,-0.03,0.03,0.07,-0.57,-0.59,-0.01,-0.08,-0.25,32.825764260999996,34.956189403,22.069,0.02,217.62,-0.01,307252470,2172,1000,11111100,28,25,100,0.0,0,20,20,100828,20.46,3
16,280.95,2.503,-5.141,3.6506800000000004,-3.1659599999999997,12.28866,0.085895,0.05657,0.998402,6840.0,14920.0,3210.0,47.9,10.09,00000000 00000000,32.825764054000004,34.956246586999995,22.03,0.01,-0.03,0.03,0.07,-0.57,-0.59,-0.01,-0.07,-0.25,32.825764260999996,34.956189403,22.069,0.02,217.62,-0.01,307252495,2172,1000,11111100,28,25,100,0.0,0,45,45,100828,20.46,0
17,280.66200000000003,2.5639999999999996,-5.207999999999999,3.23595,-1.06256,10.36999,0.077797,0.054389,1.001603,6810.0,14950.0,3240.0,47.9,10.12,00000000 00000000,32.825764059,34.956246563,22.032,0.01,-0.03,0.03,0.07,-0.56,-0.59,-0.01,-0.07,-0.25,32.825764253,34.956189417,22.076,0.02,161.03,0.01,307252520,2172,1000,11111100,28,25,100,0.0,0,20,20,100828,20.38,3
18,280.411,2.611,-5.228,2.21161,-0.06358,9.38952,0.08277799999999999,0.046329,0.9912790000000001,6810.0,14940.0,3210.0,47.9,10.05,00000000 00000000,32.825764052,34.956246567,22.033,0.01,-0.03,0.04,0.07,-0.56,-0.59,-0.02,-0.07,-0.25,32.825764253,34.956189417,22.076,0.02,161.03,0.01,307252545,2172,1000,11111100,28,25,100,0.0,0,45,45,100828,20.38,0
