,Heading,Pitch,Roll,Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z,Magn_X,Magn_Y,Magn_Z,Temperature,Vdd,USW (L/H),Latitude,Longitude,Altitude,V_East,V_North,V_Up,Heave,Surge,Sway,V_Heave,V_Surge,V_Sway,Lat_GNSS,Long_GNSS,Height_GNSS,Hor_spd,Trk_gnd,Ver_spd,ms_gps,GPS_Week,GNSS_info_1,GNSS_info_2,#solnSVs,V_latency,anglesPosType,Heading_GNSS,Latency_ms_head,Latency_ms_pos,Latency_ms_vel,P_Bar,H_Bar,New_GPS
13041,209.75900000000001,0.042,-2.589,-3.4639599999999997,3.12113,-3.1446400000000003,0.09063500000000001,0.022616999999999998,0.9195,1860.0,15000.0,3160.0,46.5,10.11,00000000 00000000,32.829939829000004,34.947202128,11.221,-25.65,8.0,-0.38,0.14,5.42,-9.12,0.08,1.01,0.32,32.82802101,34.957936945,-11.136,1.32,220.33,1.24,307806670,2172,0,1001,0,0,100,0.0,0,20,20,100798,22.89,3
13042,209.817,0.084,-2.526,-0.27316999999999997,1.82037,-1.35751,0.104333,0.014465,0.928998,1840.0,15000.0,3110.0,46.5,10.09,00000000 00000000,32.829941629000004,34.947195262,11.212,-25.67,8.0,-0.39,0.14,5.44,-9.08,0.1,1.01,0.33,32.82802101,34.957936945,-11.136,1.32,220.33,1.24,307806695,2172,0,1001,0,0,100,0.0,0,45,45,100798,22.89,0
13043,209.82299999999998,0.063,-2.522,1.8684900000000002,-1.77643,0.7162,0.121859,0.00024700000000000004,0.958765,1840.0,15000.0,3090.0,46.5,10.1,00000000 00000000,32.82994343,34.94718839,11.201,-25.68,8.01,-0.41,0.14,5.46,-9.03,0.11,1.01,0.35,32.82802101,34.957936945,-11.136,1.32,220.33,1.24,307806720,2172,0,1001,0,0,100,0.0,0,20,20,100800,22.8,3
13044,209.79,0.001,-2.62,3.07187,-6.562469999999999,1.92777,0.142484,-0.013836000000000001,1.011781,1840.0,14980.0,3090.0,46.5,10.09,00000000 00000000,32.829945233000004,34.947181514,11.191,-25.7,8.02,-0.41,0.14,5.49,-8.99,0.12,1.0,0.37,32.82802101,34.957936945,-11.136,1.32,220.33,1.24,307806745,2172,0,1001,0,0,100,0.0,0,45,45,100800,22.8,0
13045,209.71,0.075,-2.863,2.95336,-12.282,4.105580000000001,0.139449,-0.027016000000000002,1.054074,1830.0,14970.0,3120.0,46.5,10.12,00000000 00000000,32.829947039000004,34.947174633,11.181,-25.72,8.04,-0.4,0.14,5.51,-8.95,0.11,1.0,0.39,32.82802101,34.957936945,-11.136,1.32,220.33,1.24,307806770,2172,0,1001,0,0,100,0.0,0,20,20,100800,22.8,3
13046,209.58900000000003,0.11199999999999999,-3.197,0.14599,-13.34239,4.9969,0.12828599999999998,-0.030808,1.067053,1810.0,14960.0,3150.0,46.5,10.1,00000000 00000000,32.829948849000004,34.947167746,11.171,-25.74,8.05,-0.38,0.14,5.54,-8.91,0.09,0.99,0.41,32.82802101,34.957936945,-11.136,1.32,220.33,1.24,307806795,2172,0,1001,0,0,100,0.0,0,45,45,100800,22.8,0
13047,209.49099999999999,0.068,-3.464,-3.06546,-7.47348,2.75641,0.109895,-0.022981,1.059603,1780.0,14950.0,3190.0,46.5,10.11,00000000 00000000,32.829950661999995,34.947160857,11.161,-25.75,8.07,-0.37,0.14,5.56,-8.86,0.07,0.98,0.42,32.82802101,34.957936945,-11.136,1.32,220.33,1.24,307806820,2172,0,1001,0,0,100,0.0,0,20,20,100800,22.72,3
13048,209.46900000000002,0.032,-3.603,-4.83576,-4.88955,-0.45537,0.08588,-0.015600999999999999,1.023788,1770.0,14950.0,3210.0,46.5,10.08,00000000 00000000,32.829952478,34.947153965,11.152,-25.76,8.07,-0.35,0.14,5.58,-8.82,0.06,0.97,0.43,32.82802101,34.957936945,-11.136,1.32,220.33,1.24,307806845,2172,0,1001,0,0,100,0.0,0,45,45,100798,22.89,0
13049,209.532,0.174,-3.7510000000000003,-6.804539999999999,-6.91557,-3.67656,0.088965,-0.009208,1.0031780000000001,1750.0,14970.0,3200.0,46.5,10.09,00000000 00000000,32.829954295,34.947147072,11.143,-25.76,8.08,-0.35,0.14,5.61,-8.78,0.05,0.96,0.43,32.82802101,34.957936945,-11.136,1.32,220.33,1.24,307806870,2172,0,1001,0,0,100,0.0,0,20,20,100798,22.97,3
13050,209.66099999999997,0.349,-3.925,-7.54145,-6.35848,-5.35693,0.104154,-0.000288,1.004283,1750.0,15010.0,3240.0,46.5,10.05,00000000 00000000,32.829956113,34.947140176,11.134,-25.77,8.08,-0.35,0.14,5.63,-8.73,0.05,0.96,0.44,32.82802101,34.957936945,-11.136,1.32,220.33,1.24,307806895,2172,0,1001,0,0,100,0.0,0,45,45,100800,22.8,0
